ID,utterance,annotation-charlie,annotation-morgane,list-ID
13,vas_y allez avance ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
14,blam c'est bien mon bonhomme ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
14,blam c'est bien mon bonhomme ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
15,tiens tu prends ça Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
15,tiens tu prends ça Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
16,prends ça ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
16,prends ça ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
17,non ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
17,non ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
18,si ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
18,si ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
19,non ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
19,non ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
20,tiens tu veux montrer comment tu sais faire des bêtises tiens viens ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
20,tiens tu veux montrer comment tu sais faire des bêtises tiens viens ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
21,yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
21,yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
22,oh hisse non pas oh hisse viens ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
22,oh hisse non pas oh hisse viens ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
23,Adrien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
23,Adrien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
24,non un autre ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
24,non un autre ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
25,non ça c'est à papa ça ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
25,non ça c'est à papa ça ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
26,tiens regarde tu montres à tu montres à Naomi vas_y montre ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
26,tiens regarde tu montres à tu montres à Naomi vas_y montre ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
27,maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
27,maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
28,papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
28,papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
29,maman papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
29,maman papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
30,papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
30,papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
31,papa tu veux que papa il fasse ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
31,papa tu veux que papa il fasse ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
32,papa papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
32,papa papa ! [media],"[CHI-Response:Non-answer:declarative,NULL,NULL]","[CHI-Response:Non-answer:declarative,NULL,NULL]",2
33,oui ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
33,oui ! [media],"[PAR-Follow-up:Signal-agreement,NULL,NULL]","[PAR-Follow-up:Signal-agreement,NULL,NULL]",2
34,oh hop là ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
34,oh hop là ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
35,tu fais toi Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
35,tu fais toi Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
36,hop là ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
36,hop là ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
37,t'es tombé ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
37,t'es tombé ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
38,tombé Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
38,tombé Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
39,attention à la tête ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
39,attention à la tête ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
40,allez tiens comme ça voilà ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
40,allez tiens comme ça voilà ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
41,boum ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
41,boum ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
42,boum ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
42,boum ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
43,allez tiens tu viens Adrien on va se doucher ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
43,allez tiens tu viens Adrien on va se doucher ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
44,non non non non viens on va se doucher ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
44,non non non non viens on va se doucher ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
45,tiens prends ça Adrien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
45,tiens prends ça Adrien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
46,tu prends ça ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
46,tu prends ça ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
47,comment ça s'appelle Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
47,comment ça s'appelle Adrien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
48,comment ça s'appelle ça ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
48,comment ça s'appelle ça ? [media],"[PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response]","[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]",2
49,hein une voiture ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
49,hein une voiture ! [media],"[PAR-Follow-up:Give-response,NULL,NULL]","[PAR-Follow-up:Give-response,NULL,NULL]",2
50,comment tu dis voiture Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
50,comment tu dis voiture Adrien ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
51,hein comment tu dis Adrien voiture ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
51,hein comment tu dis Adrien voiture ? [media],"[PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
52,voiture ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
52,voiture ! [media],"[CHI-Response:Answer:no-explanation-needed,PAR-Follow-up:No-followup,NULL]","[NULL,NULL,NULL]",2
53,allez ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
53,allez ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
54,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
54,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
55,yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
55,yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
56,attends on se déshabille déshabille-toi Adrien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
56,attends on se déshabille déshabille-toi Adrien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
57,l'eau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
57,l'eau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
58,yyy yyy yyy yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
58,yyy yyy yyy yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
59,comment ça s'appelle comment ça s'appelle ça Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
59,comment ça s'appelle comment ça s'appelle ça Adrien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
60,x pieds ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
60,x pieds ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
61,de quoi ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
61,de quoi ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Follow-up:other,NULL,NULL]",2
62,comment tu dis Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
62,comment tu dis Adrien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2
63,x pieds ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
63,x pieds ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
64,ça veut dire quoi ça ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
64,ça veut dire quoi ça ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,No-response+No-follow-up]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response]",2
65,oh merde ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
65,oh merde ! [media],"[NULL,NULL,NULL]","[PAR-Follow-up:other,NULL,NULL]",2
66,tu enlèves ton pantalon Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
66,tu enlèves ton pantalon Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
67,hop ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
67,hop ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
68,ouh là t'es tout t'as la peau vachement sèche xxx . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
68,ouh là t'es tout t'as la peau vachement sèche xxx . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
69,t'enlèves tes chaussettes Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
69,t'enlèves tes chaussettes Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
70,enlève tes chaussettes Adrien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
70,enlève tes chaussettes Adrien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
71,comment ça s'appelle Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
71,comment ça s'appelle Adrien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
72,comment est-ce que ça s'appelle ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
72,comment est-ce que ça s'appelle ? [media],"[PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
73,hein comment ça s'appelle ça ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
73,hein comment ça s'appelle ça ? [media],"[PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]",2
74,vas_y t'enlèves l'autre ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
74,vas_y t'enlèves l'autre ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Follow-up:other,PAR-Initiation:Non-Information-seeking,NULL]",2
75,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
75,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
76,attends papa il va t'aider ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
76,attends papa il va t'aider ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
77,comment est-ce que ça s'appelle ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
77,comment est-ce que ça s'appelle ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
78,x pieds ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
78,x pieds ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
79,non des chaussettes comment tu dis Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
79,non des chaussettes comment tu dis Adrien ? [media],"[PAR-Follow-up:Signal-disagreement,PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ]","[PAR-Follow-up:Signal-disagreement,PAR-Follow-up:Give-response,PAR-Initiation:Non-Information-seeking]",2
80,yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
80,yyy . [media],"[CHI-Response:No-label,NULL,NULL]","[NULL,NULL,NULL]",2
81,chaussettes ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
81,chaussettes ! [media],"[PAR-Follow-up:Give-response,NULL,NULL]","[NULL,NULL,NULL]",2
82,oui ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
82,oui ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
83,comment ça s'appelle ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
83,comment ça s'appelle ? [media],"[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]","[PAR-Initiation:Information-seeking:fact-based ,No-response+No-follow-up,NULL]",2
84,tu viens Adrien oh oh oh ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
84,tu viens Adrien oh oh oh ! [media],"[PAR-Follow-up:other,NULL,NULL]","[NULL,NULL,NULL]",2
85,allez viens ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
85,allez viens ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
86,allez lève les bras ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
86,allez lève les bras ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
87,les les deux bras ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
87,les les deux bras ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
88,t'enlèves ta couche Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
88,t'enlèves ta couche Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
89,tu vas la mettre à la poubelle ta couche ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
89,tu vas la mettre à la poubelle ta couche ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
90,c'est trop fort ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
90,c'est trop fort ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
91,ouais c'est bien c'est bien mon bonhomme ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
91,ouais c'est bien c'est bien mon bonhomme ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
92,allez on attend ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
92,allez on attend ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
93,attends tends tends xxx . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
93,attends tends tends xxx . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
94,comment ça s'appelle ça Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
94,comment ça s'appelle ça Adrien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]","[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]",2
95,regarde ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
95,regarde ! [media],"[PAR-Follow-up:other,NULL,NULL]","[NULL,NULL,NULL]",2
96,c'est quoi ça ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
96,c'est quoi ça ? [media],"[PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2
97,bateau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
97,bateau ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
98,oui un bateau hop ça s'appelle comment ça ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
98,oui un bateau hop ça s'appelle comment ça ? [media],"[PAR-Follow-up:Signal-agreement,PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ]","[PAR-Follow-up:Signal-agreement,PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ]",2
99,bateau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
99,bateau ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
100,non ça s'appelle un seau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
100,non ça s'appelle un seau ! [media],"[PAR-Follow-up:Signal-disagreement,PAR-Follow-up:Give-response,NULL]","[PAR-Follow-up:Signal-disagreement,PAR-Follow-up:Give-response,NULL]",2
101,tu dis Adrien seau ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
101,tu dis Adrien seau ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Non-Information-seeking,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Non-Information-seeking,NULL]",2
102,dis ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
102,dis ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
103,seau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
103,seau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
104,seau comment tu dis seau ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
104,seau comment tu dis seau ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
105,seau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
105,seau ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[NULL,NULL,NULL]",2
106,oui seau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
106,oui seau ! [media],"[PAR-Follow-up:Signal-agreement,PAR-Follow-up:Repeat-answer,NULL]","[NULL,NULL,NULL]",2
107,ça ça s'appelle un arrosoir ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
107,ça ça s'appelle un arrosoir ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
108,ouh c'est difficile à dire ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
108,ouh c'est difficile à dire ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
109,et ça regarde c'est quoi ça ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
109,et ça regarde c'est quoi ça ? [media],"[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]","[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]",2
110,ah tu dis ah ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
110,ah tu dis ah ! [media],"[PAR-Follow-up:other,NULL,NULL]","[PAR-Follow-up:other,NULL,NULL]",2
111,yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
111,yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
112,un autre ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
112,un autre ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
113,un autre non ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
113,un autre non ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
114,allo ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
114,allo ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
115,il y a quelqu'un pour toi Adrien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
115,il y a quelqu'un pour toi Adrien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
116,allo ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
116,allo ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
117,allo ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
117,allo ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
118,hop là à l'eau c'est le c'est le cas de le dire ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
118,hop là à l'eau c'est le c'est le cas de le dire ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
119,yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
119,yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
120,aïe aïe ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
120,aïe aïe ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
121,attends regarde il y a pas assez d'eau mon bonhomme ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
121,attends regarde il y a pas assez d'eau mon bonhomme ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
122,ça te gratte là encore au niveau des jambes xxx . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
122,ça te gratte là encore au niveau des jambes xxx . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
123,non ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
123,non ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
124,attends viens voir ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
124,attends viens voir ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
125,non non non mais papa regarde il regarde juste Adrien . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
125,non non non mais papa regarde il regarde juste Adrien . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
126,non ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
126,non ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
127,yyy yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
127,yyy yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
128,oh hisse ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
128,oh hisse ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
