ID,utterance,annotation-charlie,annotation-morgane,list-ID
30,non t'étais chez papi et mamie ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
30,non t'étais chez papi et mamie ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
31,tata ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
31,tata ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
32,t étais comment il s'appelle pap papi ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
32,t étais comment il s'appelle pap papi ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
33,papou . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
33,papou . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
34,papou oui t'as vu papou ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
34,papou oui t'as vu papou ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
35,mamou ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
35,mamou ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
36,et mamou oui ils est où ils sont où papou et mamou maintenant ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
36,et mamou oui ils est où ils sont où papou et mamou maintenant ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
37,parti maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
37,parti maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
38,ils sont partis ils sont restés dans leur maison ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
38,ils sont partis ils sont restés dans leur maison ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
39,oui papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
39,oui papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
40,c'est à qui ça ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
40,c'est à qui ça ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
41,papa maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
41,papa maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
42,papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
42,papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
43,maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
43,maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
44,oui c'est maman elle est là maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
44,oui c'est maman elle est là maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
45,oui ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
45,oui ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
46,maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
46,maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
47,oui . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
47,oui . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
48,là mais il est lourd Adrien qu'est-ce qu'il est lourd mon nounou ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
48,là mais il est lourd Adrien qu'est-ce qu'il est lourd mon nounou ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
49,tu me fais un un gâté ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
49,tu me fais un un gâté ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
50,oui papa tu veux aller faire un gâté avec papa ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
50,oui papa tu veux aller faire un gâté avec papa ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
51,tu fais un gâté avec papa oh oui xxx . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
51,tu fais un gâté avec papa oh oui xxx . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
52,oh oui t'es content toi hein ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
52,oh oui t'es content toi hein ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
53,t'étais content ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
53,t'étais content ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
54,qu'est-ce qui m'a dit là ce matin là ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
54,qu'est-ce qui m'a dit là ce matin là ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
55,maintenant il dit oui comment tu dis Adrien oui ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
55,maintenant il dit oui comment tu dis Adrien oui ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
56,oui . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
56,oui . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
57,oui ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
57,oui ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
58,qui c'est qui te filme qui c'est elle ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
58,qui c'est qui te filme qui c'est elle ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
59,c'est qui ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
59,c'est qui ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
60,Naomi ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
60,Naomi ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
61,ma Naomi c'est mi tu dis mi xxx . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
61,ma Naomi c'est mi tu dis mi xxx . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
62,oh c'est marrant il connaît mon nom trop fort ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
62,oh c'est marrant il connaît mon nom trop fort ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
63,il y a la caméra là alors je sais pas si tu veux mettre tes doigts dessus . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
63,il y a la caméra là alors je sais pas si tu veux mettre tes doigts dessus . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
64,mais qu'est-ce qu'il m'a dit ce matin là que je savais pas . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
64,mais qu'est-ce qu'il m'a dit ce matin là que je savais pas . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
65,maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
65,maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
66,oui ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
66,oui ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
67,maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
67,maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
68,maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
68,maman ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
69,oui maman elle est là qu'est-ce qu'il y a mon chéri ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
69,oui maman elle est là qu'est-ce qu'il y a mon chéri ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
70,oui . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
70,oui . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
71,ah c'est quoi ça ouh ça fait mal aux yeux ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
71,ah c'est quoi ça ouh ça fait mal aux yeux ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
72,il a peur un peu aussi . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
72,il a peur un peu aussi . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
73,t'as peur comment tu dis la peur ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
73,t'as peur comment tu dis la peur ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
74,a peur . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
74,a peur . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
75,a peur ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
75,a peur ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
76,yyy yyy yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
76,yyy yyy yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
77,yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
77,yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
78,yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
78,yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
79,qu'est-ce que c'est ça Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
79,qu'est-ce que c'est ça Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
80,c'est des voitures ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
80,c'est des voitures ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
81,yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
81,yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
82,xxx oui elle est à qui la voiture ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
82,xxx oui elle est à qui la voiture ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
83,mm . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
83,mm . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
84,et avant c'était à qui c'était à papa j'crois ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
84,et avant c'était à qui c'était à papa j'crois ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
85,Adrien comment il fait le train ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
85,Adrien comment il fait le train ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
86,tchou tchou ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
86,tchou tchou ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
87,oui c'est bien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
87,oui c'est bien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
88,tchou tchou . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
88,tchou tchou . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
89,tchou tchou t'as fait du train avec qui avec papi t'as fait du train à Saint_Étienne ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
89,tchou tchou t'as fait du train avec qui avec papi t'as fait du train à Saint_Étienne ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
90,papi . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
90,papi . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
91,papi oui . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
91,papi oui . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
92,yyy yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
92,yyy yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
93,oui ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
93,oui ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
94,yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
94,yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
95,et le chat comment il fait ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
95,et le chat comment il fait ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
96,yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
96,yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
97,voilà et la vache ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
97,voilà et la vache ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
98,yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
98,yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
99,bon je vais changer l'eau des poissons ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
99,bon je vais changer l'eau des poissons ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
100,et au téléphone comment on dit ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
100,et au téléphone comment on dit ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
101,allo ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
101,allo ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
102,allo ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
102,allo ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
103,allo oui ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
103,allo oui ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
104,papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
104,papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
105,qu'est-ce qu'il fait qu'est-ce qu'il fait papa ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
105,qu'est-ce qu'il fait qu'est-ce qu'il fait papa ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
106,papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
106,papa ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
107,il va changer l'eau des poissons ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
107,il va changer l'eau des poissons ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
108,oui ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
108,oui ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
109,comment ça s'appelle Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
109,comment ça s'appelle Adrien ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
110,comment ils s'appellent les poissons ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
110,comment ils s'appellent les poissons ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
111,poissons ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
111,poissons ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
112,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
112,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
113,poissons oui non ils ont des prénoms comment ils s'appellent et ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
113,poissons oui non ils ont des prénoms comment ils s'appellent et ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
114,sérieux vous les avez appelé comme ça ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
114,sérieux vous les avez appelé comme ça ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
115,attends Adrien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
115,attends Adrien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
116,tiens assis-toi ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
116,tiens assis-toi ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
117,assis ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
117,assis ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
118,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
118,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
119,oh hisse ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
119,oh hisse ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
120,gâteau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
120,gâteau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
121,gâteau oui non non pas de gâteau Adrien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
121,gâteau oui non non pas de gâteau Adrien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
122,non gâteau non gâteau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
122,non gâteau non gâteau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
123,quoi ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
123,quoi ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
124,non non gâteau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
124,non non gâteau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
125,j'entends rien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
125,j'entends rien ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
126,non gâteau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
126,non gâteau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
127,non gâteau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
127,non gâteau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
128,non gâteau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
128,non gâteau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
129,yyy yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
129,yyy yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
130,non laisse le couteau Adrien on joue pas avec le couteau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
130,non laisse le couteau Adrien on joue pas avec le couteau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
131,non non gâteau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
131,non non gâteau ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
132,comment ça s a le les ciseaux non ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
132,comment ça s a le les ciseaux non ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
133,ciseaux ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
133,ciseaux ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
134,ciseaux oui ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
134,ciseaux oui ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
135,ciseaux ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
135,ciseaux ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
136,yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
136,yyy yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
137,pourquoi tu l'as c'est quoi ces gâteaux Elsa ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
137,pourquoi tu l'as c'est quoi ces gâteaux Elsa ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
138,hein non non Adrien attention ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
138,hein non non Adrien attention ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
139,c'est quoi ces gâteaux ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
139,c'est quoi ces gâteaux ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
140,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
140,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
141,vous la changez beaucoup ou pas ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
141,vous la changez beaucoup ou pas ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
142,tiens viens ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
142,tiens viens ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
143,ouh ouh ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
143,ouh ouh ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
144,mm okay ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
144,mm okay ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
145,d'accord ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
145,d'accord ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
146,je dis que tu viens cette après ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
146,je dis que tu viens cette après ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
147,x pain ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
147,x pain ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
